MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:41-03,UFES,SAMES,1227,PreservedSpecimen,Plantae,,,,Asteraceae,Cololobus,argenteus,,Cololobus argenteus,M.Monge & Semir,H.V.PintoJunior,2019,01,15,,"Pinto Junior, H.V.; Covre, C.",156,,2015,07,23,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas cinza; flores brancas; sol pleno.,SAMES01227,,auto
2020-07-10 09:45:14-03,MBML,MBML-HERBARIO,30133,,Plantae,,,,Compositae,Cololobus,argenteus,,Cololobus argenteus,M.Monge & Semir,M. Monge/2017,,,,HOLOTIPO,"V. Demuner; T. Cruz, R. R. Vervloet e Elias Bausen.",3902,,2007,05,16,,,Brasil,Espírito Santo,Águia Branca,"Rochedo, propr.: Arlindo Breda",-40.802778,-18.945833,40W48'10,18S56'45,,,400,400,,,,,,,,,"Erva 1m flores lilás, folhas e ramos com pêlos prateados. Afloramento rochoso.",MBML030133,MBML030133,
2020-07-10 09:45:14-03,MBML,MBML-HERBARIO,37094,,Plantae,,,,Compositae,Cololobus,argenteus,,Cololobus argenteus,M.Monge & Semir,M. Monge/2011,,,,PARATIPO,"A. P. Fontana; L. Kollmann, E. Leme, M. Zanoni & O. Ribeiro",5047,,2008,04,26,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, Pedra da Bandeira, propriedade do Sr. Ciro Ferreira.",-40.652583,-18.968778,"40W39'9,3","18S58'7,6",,,362,362,,,,,,,,,Rupícola no sol. Frutos vermelhos. Flores masculinas cremes.,MBML037094,MBML037094,
2020-07-10 09:45:14-03,MBML,MBML-HERBARIO,39952,,Plantae,,,,Compositae,Cololobus,argenteus,,Cololobus argenteus,M.Monge & Semir,M. Monge/2011,,,,PARATIPO,"A. P. Fontana; C. Esgario, R. Louzada, C. Moreira & D.H. Krause",2330,,2006,08,05,,,Brasil,Espírito Santo,Pancas,"Parque Nacional dos Pontões Capixabas. Lajinha, propriedade de Vidal Krause. Inselbergue",-40.774889,-19.191472,"40W46'29,6","19S11'29,3",,,310,310,,,,,,,,,"Sub-arbustiva, folhas com tricomas brancos. Flores lilás.",MBML039952,MBML039952,
